Symbol,Name,CEO,YR,SALARY
DUK,Duke Energy Corp.,Lynn Good,2018,13982960
BSX,Boston Scientific Corp.,Michael Mahoney,2018,13970901
PKI,"PerkinElmer, Inc. (United States)",Robert Friel,2018,13961376
TXT,"Textron, Inc.",Scott Donnelly,2018,13948917
APD,"Air Products & Chemicals, Inc.",Seifollah Ghasemi,2018,13941507
MNST,Monster Beverage Corp.,Rodney Sacks,2018,13914931
SYK,Stryker Corp.,Kevin Lobo,2018,13911065
RGEN,Repligen Corp.,Tony Hunt,2018,13893326
UNP,Union Pacific Corp.,Lance Fritz,2018,13886953
HIG,"The Hartford Financial Services Group, Inc.",Christopher Swift,2018,13883615
MBI,"MBIA, Inc.",William Fallon,2018,13855479
NOV,"National Oilwell Varco, Inc.",Clay Williams,2018,13828435
RYAM,"Rayonier Advanced Materials, Inc.",Paul Boynton,2018,13815099
CSX,CSX Corp.,James Foote,2018,13770601
FTV,Fortive Corp.,James Lico,2018,13720993
NVDA,NVIDIA Corp.,Jen-Hsun Huang,2019,13642838
AIZ,"Assurant, Inc.",Alan Colberg,2018,13616946
URI,"United Rentals, Inc.",Michael Kneeland,2018,13598202
RHT,"Red Hat, Inc.",James Whitehurst,2018,13597466
SWK,"Stanley Black & Decker, Inc.",James Loree,2018,13563404
WBA,"Walgreens Boots Alliance, Inc.",Stefano Pessina,2018,13542260
MMM,3M Co.,Inge Thulin,2018,13530086
CCL,Carnival Corp.,Arnold Donald,2018,13506884
SPLK,"Splunk, Inc.",Douglas Merritt,2019,13505795
TRGP,Targa Resources Corp.,Joe Perkins,2018,13481602
USB,U.S. Bancorp,Andrew Cecere,2018,13437128
DOCU,"DocuSign, Inc.",Daniel Springer,2019,13436138
KW,"Kennedy-Wilson Holdings, Inc.",William McMorrow,2018,13426907
CME,"CME Group, Inc.",Terrence Duffy,2018,13416665
FL,"Foot Locker, Inc.",Richard Johnson,2019,13401976
VST,Vistra Energy Corp.,Curtis Morgan,2018,13399688
SBUX,Starbucks Corp.,Kevin Johnson,2018,13382480
MUR,Murphy Oil Corp.,Roger Jenkins,2018,13370132
AMD,"Advanced Micro Devices, Inc.",Lisa Su,2018,13356392
CLR,"Continental Resources, Inc.",Harold Hamm,2018,13332412
MYL,Mylan NV,Heather Bresch,2018,13332368
HUN,Huntsman Corp.,Peter Huntsman,2018,13331202
NKTR,Nektar Therapeutics,Howard Robin,2018,13330667
XPO,"XPO Logistics, Inc.",Bradley Jacobs,2018,13327471
CXO,"Concho Resources, Inc.",Timothy Leach,2018,13317156
SCI,Service Corp. International,Thomas Ryan,2018,13312454
LILAK,Liberty Latin America Ltd.,Balan Nair,2018,13293448
CZR,Caesars Entertainment Corp.,Mark Frissora,2018,13221276
SHW,The Sherwin-Williams Co.,John Morikis,2018,13213749
AA,Alcoa Corp.,Roy Harvey,2018,13196569
SO,The Southern Co.,Thomas Fanning,2018,13097691
TROW,"T. Rowe Price Group, Inc.",William Stromberg,2018,13086753
COG,Cabot Oil & Gas Corp.,Dan Dinges,2018,13050320
JEC,"Jacobs Engineering Group, Inc.",Steven Demetriou,2018,13043688
IGT,International Game Technology Plc,Marco Sala,2018,13017276
KMB,Kimberly-Clark Corp.,Thomas Falk,2018,13010083
NWSA,News Corp.,Robert Thomson,2018,12977958
PS,"Pluralsight, Inc.",Aaron Skonnard,2018,12951975
MAR,"Marriott International, Inc.",Arne Sorenson,2018,12933992
IVZ,Invesco Ltd.,Martin Flanagan,2018,12921609
WELL,"Welltower, Inc.",Thomas DeRosa,2018,12884453
ZG,"Zillow Group, Inc.",Spencer Rascoff,2018,12863822
NTAP,"NetApp, Inc.",George Kurian,2018,12859367
MGM,MGM Resorts International,James Murren,2018,12849021
LRCX,Lam Research Corp.,Martin Anstice,2018,12848645
TPR,"Tapestry, Inc.",Victor Luis,2018,12825430
AGO,Assured Guaranty Ltd.,Dominic Frederico,2018,12771902
M,"Macy's, Inc.",Jeffrey Gennette,2019,12733691
WCG,"WellCare Health Plans, Inc.",Kenneth Burdick,2018,12675372
FLR,Fluor Corp.,David Seaton,2018,12673601
BG,Bunge Ltd.,Soren Schroder,2018,12619691
CA,"CA, Inc.",Michael Gregoire,2018,12616865
HES,Hess Corp.,John Hess,2018,12572440
RS,Reliance Steel & Aluminum Co.,Gregg Mollins,2018,12567944
CE,Celanese Corp.,Mark Rohr,2018,12514160
ADP,"Automatic Data Processing, Inc.",Carlos Rodriguez,2018,12489040
AN,"AutoNation, Inc.",Mike Jackson,2018,12472579
H,Hyatt Hotels Corp.,Mark Hoplamazian,2018,12460429
DVN,Devon Energy Corp.,David Hager,2018,12459068
SYF,Synchrony Financial,Margaret Keane,2018,12449138
RCL,Royal Caribbean Cruises Ltd.,Richard Fain,2018,12422715
FISV,"Fiserv, Inc.",Jeffery Yabuki,2018,12410769
KLAC,KLA-Tencor Corp.,Richard Wallace,2018,12391300
SPGI,"S&P Global, Inc.",Douglas Peterson,2018,12360845
AKS,AK Steel Holding Corp.,Roger Newport,2018,12319274
AQUA,Evoqua Water Technologies Corp.,Ronald Keating,2018,12283463
LH,Laboratory Corp. of America Holdings,David King,2018,12264236
TRU,TransUnion,James Peck,2018,12264122
ROST,"Ross Stores, Inc.",Barbara Rentler,2019,12248994
FICO,Fair Isaac Corp.,William Lansing,2018,12247481
PFG,"Principal Financial Group, Inc.",Daniel Houston,2018,12227017
MRO,Marathon Oil Corp.,Lee Tillman,2018,12210874
AEP,"American Electric Power Co., Inc.",Nicholas Akins,2018,12202028
XEL,"Xcel Energy, Inc.",Benjamin Fowke III,2018,12147768
PNW,Pinnacle West Capital Corp.,Donald Brandt,2018,12145522
FDC,First Data Corp.,Frank Bisignano,2018,12139288
EQH,"AXA Equitable Holdings, Inc.",Mark Pearson,2018,12138563
CATM,Cardtronics plc,Edward West,2018,12059896
EOG,"EOG Resources, Inc.",William Thomas,2018,12042335
BV,"BrightView Holdings, Inc.",Andrew Masterman,2018,12040205
KR,The Kroger Co.,W. McMullen,2019,12037872
AAL,"American Airlines Group, Inc.",W. Parker,2018,11999517
PXD,Pioneer Natural Resources Co.,Timothy Dove,2018,11936791
MARK,"Remark Holdings, Inc.",Kai-Shing Tao,2018,11900269
ON,ON Semiconductor Corp.,Keith Jackson,2018,11893401
FNSR,Finisar Corp.,Jerry Rawls,2018,11863335
WRB,W.R. Berkley Corp.,W. Berkley Jr.,2018,11852861
WHR,Whirlpool Corp.,Marc Bitzer,2018,11836275
RSG,"Republic Services, Inc.",Donald Slager,2018,11787571
PPG,"PPG Industries, Inc.",Michael McGarry,2018,11784404
ATGE,"Adtalem Global Education, Inc.",Lisa Wardell,2018,11722209
HSY,The Hershey Co.,Michele Buck,2018,11718372
MPWR,"Monolithic Power Systems, Inc.",Michael Hsing,2018,11715714
A,"Agilent Technologies, Inc.",Michael McMullen,2018,11708230
KBH,KB Home,Jeffrey Mezger,2018,11672897
ZTS,"Zoetis, Inc.",Juan Alaix,2018,11669400
CDAY,"Ceridian HCM Holding, Inc.",David Ossip,2018,11653471
FOCS,"Focus Financial Partners, Inc.",Ruediger Adolf,2018,11637251
MAS,Masco Corp.,Keith Allman,2018,11636439
COKE,"Coca-Cola Consolidated, Inc.",J. Harrison,2018,11618643
MDC,"M.D.C. Holdings, Inc.",Larry Mizel,2018,11605548
VNO,Vornado Realty Trust,Steven Roth,2018,11599270
LYV,"Live Nation Entertainment, Inc.",Michael Rapino,2018,11591603
X,United States Steel Corp.,David Burritt,2018,11590073
CL,Colgate-Palmolive Co.,Ian Cook,2018,11551328
HCHC,"HC2 Holdings, Inc.",Philip Falcone,2018,11535545
ABC,AmerisourceBergen Corp.,Steven Collis,2018,11514115
IT,"Gartner, Inc.",Eugene Hall,2018,11502517
LAZ,Lazard Ltd.,Kenneth Jacobs,2018,11455841
MAN,"ManpowerGroup, Inc.",Jonas Prising,2018,11444010
CNNE,"Cannae Holdings, Inc.",Brent Bickett,2018,11439521
PRTA,Prothena Corp. Plc,Gene Kinney,2018,11396769
JBL,"Jabil, Inc.",Mark Mondello,2018,11396365
NEM,Newmont Goldcorp Corp.,Gary Goldberg,2018,11393771
FRC,First Republic Bank,James Herbert,2018,11383073
HD,"The Home Depot, Inc.",Craig Menear,2019,11366662
HFC,HollyFrontier Corp.,George Damiris,2018,11350368
AKAM,"Akamai Technologies, Inc.",F. Leighton,2018,11347676
PPL,PPL Corp.,William Spence,2018,11338785
VOYA,"Voya Financial, Inc.",Rodney Martin Jr.,2018,11337911
WPX,"WPX Energy, Inc.",Richard Muncrief,2018,11325367
EGRX,"Eagle Pharmaceuticals, Inc.",Scott Tarriff,2018,11324456
TPX,"Tempur Sealy International, Inc.",Scott Thompson,2018,11296348
MDR,"McDermott International, Inc.",David Dickson,2018,11294007
IRM,"Iron Mountain, Inc.",William Meaney,2018,11287272
BR,"Broadridge Financial Solutions, Inc.",Richard Daly,2018,11216495
NBL,"Noble Energy, Inc.",David Stover,2018,11213168
GWRE,"Guidewire Software, Inc.",Marcus Ryu,2018,11210472
NTNX,"Nutanix, Inc.",Dheeraj Pandey,2018,11202225
WY,Weyerhaeuser Co.,Doyle Simons,2018,11191321
TRMB,"Trimble, Inc.",Steven Berglund,2018,11177172
FITB,Fifth Third Bancorp,Greg Carmichael,2018,11173652
RJF,"Raymond James Financial, Inc.",Paul Reilly,2018,11123643
FE,FirstEnergy Corp.,Charles Jones,2018,11123128
FTSI,"FTS International, Inc.",Michael Doss,2018,11082070
THS,"TreeHouse Foods, Inc.",Sam Reed,2018,11068283
ILMN,"Illumina, Inc.",Francis deSouza,2018,11067566
RP,"RealPage, Inc.",Stephen Winn,2018,11046385
ADI,"Analog Devices, Inc.",Vincent Roche,2018,11007691
EQR,Equity Residential,David Neithercut,2018,11004730
DTE,DTE Energy Co.,Gerard Anderson,2018,10986809
BLL,Ball Corp.,John Hayes,2018,10941645
TIF,Tiffany & Co.,Alessandro Bogliolo,2019,10940139
TSS,"Total System Services, Inc.",M. Woods,2018,10854560
RNR,RenaissanceRe Holdings Ltd.,Kevin O'Donnell,2018,10819363
TTD,"The Trade Desk, Inc.",Jeff Green,2018,10782252
SABR,Sabre Corp.,Sean Menke,2018,10772345
WMB,"The Williams Cos., Inc.",Alan Armstrong,2018,10691375
GBL,"GAMCO Investors, Inc.",Mario Gabelli,2018,10660345
CDR,"Cedar Realty Trust, Inc.",Bruce Schanzer,2018,10635930
APTX,"Aptinyx, Inc.",Norbert Riedel,2018,10605446
DG,Dollar General Corp.,Todd Vasos,2019,10602517
OSK,Oshkosh Corp.,Wilson Jones,2018,10589640
